,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
165,Local comercial,Pachacámac,0,0,0,42,700.0,515.0,83.0
166,Tienda/Salón,Pachacámac,0,0,0,530,12000.0,7435.0,1750.0
167,Local comercial,Ate,0,4,0,125,7000.0,5000.0,1100.0
168,Tienda en Centro Comercial,Ate,0,2,0,88,2500.0,4500.0,1544.0
169,Local comercial,Rímac,0,0,0,120,20000.0,2400.0,
170,Local comercial,Ate,0,0,0,45,1100.0,1000.0,1.0
171,Local comercial,Callao,0,2,0,44,1500.0,949.0,52.0
172,Tienda en Centro Comercial,Comas,0,2,0,25,5000.0,,150.0
173,Local comercial,Ate,0,1,0,36,1600.0,780.0,80.0
174,Local comercial,Comas,0,0,0,32,1700.0,750.0,
175,Local comercial,Ate,0,3,0,108,5900.0,2424.0,
176,Tienda en Centro Comercial,Lince,0,1,0,61,4500.0,1.0,
177,Local comercial,Lince,0,1,0,20,700.0,273.0,75.0
178,Local comercial,Lince,0,1,0,25,1000.0,550.0,
179,Tienda en Centro Comercial,Ate,0,1,0,81,2500.0,2548.0,727.0
180,Local comercial,Ate,0,1,0,54,2500.0,1200.0,1800.0
181,Almacén,La Perla,0,12,0,3084,67855.0,19711.0,1676.0
182,Local comercial,Santa Anita,0,0,0,25,600.0,580.0,
183,Tienda/Salón,San Borja,0,1,0,26,700.0,1004.0,170.0
184,Local comercial,San Martín de Porres,0,1,0,29,1000.0,638.0,
185,Tienda/Salón,San Borja,0,0,0,260,35000.0,750.0,1350.0
186,Local comercial,Ate,0,10,0,1100,66000.0,30000.0,23786.0
187,Tienda/Salón,Chorrillos,0,5,0,525,64698.0,,
188,Local comercial,Pachacámac,100,39,0,1600,160000.0,,
189,Local comercial,Pachacámac,0,0,0,570,19500.0,8800.0,
190,Casa comercial,Santa Rosa,0,1,0,100,2000.0,,
191,Local comercial,Ate,0,1,0,45,500.0,1100.0,
192,Tienda en Centro Comercial,Ate,0,0,0,34,2700.0,1047.0,326.0
193,Local comercial,Pachacámac,0,0,0,50,1200.0,1350.0,230.0
194,Local comercial,Ate,0,14,0,350,21000.0,,
195,Local comercial,Pachacámac,0,0,0,576,28845.0,8942.0,2071.0
196,Almacén,Puente Piedra,0,100,0,5000,90000.0,,12506.0
197,Local comercial,San Borja,0,0,0,73,4000.0,1363.0,294.0
198,Local comercial,Pachacámac,0,0,0,34,900.0,479.0,114.0
199,Local comercial,Ate,0,1,0,49,1200.0,617.0,69.0
200,Local comercial,Pachacámac,0,0,0,55,900.0,1219.0,138.0
201,Local comercial,Santa Anita,0,0,0,30,530.0,270.0,
202,Local comercial,Ate,0,1,0,22,600.0,797.0,164.0
203,Local comercial,Comas,0,0,0,30,2300.0,880.0,
204,Tienda/Salón,Pachacámac,0,0,0,172,2500.0,,391.0
205,Local comercial,Callao,0,1,0,24,400.0,600.0,53.0
206,Local comercial,Rímac,0,8,0,408,90404.0,26000.0,
207,Almacén,San Miguel,0,0,0,1000,9800.0,,630.0
208,Almacén,Ancón,0,0,0,190,3600.0,,291.0
209,Casa comercial,San Borja,12,0,12,360,17000.0,,1150.0
210,Almacén,Lince,0,0,0,1599,30394.0,4399.0,1199.0
211,Local comercial,Ate,0,0,0,125,3500.0,3100.0,775.0
212,Local comercial,Chorrillos,0,1,0,80,4500.0,2183.0,464.0
213,Tienda/Salón,Lince,0,0,0,240,2500.0,,
214,Local comercial,San Miguel,0,0,0,50,1200.0,1260.0,266.0
215,Local comercial,Lince,0,1,0,25,700.0,484.0,112.0
216,Tienda/Salón,Jesús María,0,0,0,1200,58000.0,,4750.0
217,Local comercial,Lince,0,1,0,40,1400.0,480.0,
218,Local comercial,Pachacámac,0,0,0,309,15000.0,5000.0,650.0
219,Local comercial,Pachacámac,0,0,0,44,900.0,150.0,166.0
220,Local comercial,Villa El Salvador,0,8,0,834,72435.0,16680.0,
221,Local comercial,Pachacámac,0,1,0,182,8500.0,3200.0,
222,Local comercial,Jesús María,0,0,0,25,800.0,400.0,104.0
223,Local comercial,Lince,0,1,0,21,600.0,500.0,
224,Local comercial,Jesús María,0,1,0,22,800.0,470.0,170.0
225,Local comercial,Ate,0,1,0,35,1500.0,1200.0,200.0
